Product_ID,Product_Name,Date,Forecast_Week,SARIMA_Forecast,SARIMA_Lower,SARIMA_Upper,Prophet_Forecast,Prophet_Lower,Prophet_Upper,Best_Model,Confidence_Score
6533889,GASOLINE-REG UNLEADED,2021-12-13,1,506.26158675234274,258.2156180339291,754.3075554707564,638.7973286730834,500.1974742388143,778.9827352880003,Prophet,보통 (Mid)
6533889,GASOLINE-REG UNLEADED,2021-12-20,2,506.26158675234274,244.7847205896203,767.7384529150652,638.6318180867895,498.0395221466831,785.404073528859,Prophet,보통 (Mid)
6533889,GASOLINE-REG UNLEADED,2021-12-27,3,506.26158675234274,232.01078825013184,780.5123852545537,602.3134471598513,466.40218215632837,747.7001296845555,Prophet,보통 (Mid)
6533889,GASOLINE-REG UNLEADED,2022-01-03,4,506.26158675234274,219.8059192923983,792.7172542122871,586.957361312761,447.30887943544343,727.8810781109402,Prophet,보통 (Mid)
6533889,GASOLINE-REG UNLEADED,2022-01-10,5,506.26158675234274,208.10022379472497,804.4229497099604,615.7737849011736,470.3982245914991,770.367871980251,Prophet,보통 (Mid)
6533889,GASOLINE-REG UNLEADED,2022-01-17,6,506.26158675234274,196.8370445751484,815.6861289295371,654.0284675143134,506.17757319740133,801.0721955891537,Prophet,보통 (Mid)
6533889,GASOLINE-REG UNLEADED,2022-01-24,7,506.26158675234274,185.96969450030906,826.5534790043764,653.0516057938697,506.47917417964163,790.3828975996479,Prophet,보통 (Mid)
6533889,GASOLINE-REG UNLEADED,2022-01-31,8,506.26158675234274,175.45916054719783,837.0640129574876,606.6230914016577,458.618151020106,749.4944630153145,Prophet,보통 (Mid)
6533889,GASOLINE-REG UNLEADED,2022-02-07,9,506.26158675234274,165.2724459809212,847.2507275237642,555.2529247072316,408.9594002466018,708.8958525138298,Prophet,보통 (Mid)
6533889,GASOLINE-REG UNLEADED,2022-02-14,10,506.26158675234274,155.38134640693033,857.1418270977551,539.1901145225141,395.65287479385023,681.8648046257972,Prophet,보통 (Mid)
6533889,GASOLINE-REG UNLEADED,2022-02-21,11,506.26158675234274,145.76152849204732,866.7616450126382,558.8003142850775,415.27538460553603,697.2616718774352,Prophet,보통 (Mid)
6533889,GASOLINE-REG UNLEADED,2022-02-28,12,506.26158675234274,136.3918246109933,876.1313488936921,585.3049383206309,452.1414001503954,732.4054785176909,Prophet,보통 (Mid)
6534178,GASOLINE-REG UNLEADED,2021-12-13,1,4961.6099674613415,3823.0546614109417,6100.165273511741,4943.0247782147335,3920.1351090138965,6002.342844801748,Prophet,높음 (High)
6534178,GASOLINE-REG UNLEADED,2021-12-20,2,5237.146711958463,3922.344325311419,6551.949098605507,4987.039079965793,3936.033719192549,6082.678973811954,Prophet,높음 (High)
6534178,GASOLINE-REG UNLEADED,2021-12-27,3,5326.390252763813,3748.094305369561,6904.686200158065,4836.642776119321,3821.8340502126844,5957.4731468673335,Prophet,높음 (High)
6534178,GASOLINE-REG UNLEADED,2022-01-03,4,5211.21139738334,3251.1847962537167,7171.237998512964,4582.36827111251,3502.4905152530205,5580.803566262435,Prophet,높음 (High)
6534178,GASOLINE-REG UNLEADED,2022-01-10,5,5149.380946934398,2955.995114119143,7342.766779749652,4384.96009470697,3402.4539223468205,5358.950606663951,Prophet,높음 (High)
6534178,GASOLINE-REG UNLEADED,2022-01-17,6,5232.807780011744,2892.2860857544983,7573.32947426899,4351.323192391032,3356.1074686894817,5460.9843064123825,Prophet,높음 (High)
6534178,GASOLINE-REG UNLEADED,2022-01-24,7,5528.594392781001,3000.9471722650724,8056.24161329693,4465.024074261896,3356.788509501943,5464.5677902322,Prophet,높음 (High)
6534178,GASOLINE-REG UNLEADED,2022-01-31,8,5511.484429981699,2775.4008446385014,8247.568015324896,4625.376748276278,3551.022819848922,5655.3131452709285,Prophet,높음 (High)
6534178,GASOLINE-REG UNLEADED,2022-02-07,9,5327.002039405993,2432.19443019811,8221.809648613877,4749.480233494653,3731.912072348841,5823.89269689502,Prophet,높음 (High)
6534178,GASOLINE-REG UNLEADED,2022-02-14,10,5443.413242925308,2412.8083890260787,8474.018096824537,4833.663670282822,3723.521687124564,5885.187746706904,Prophet,높음 (High)
6534178,GASOLINE-REG UNLEADED,2022-02-21,11,5541.58994469602,2359.5009721731003,8723.67891721894,4917.624987379616,3828.953285115772,6013.059865145093,Prophet,높음 (High)
6534178,GASOLINE-REG UNLEADED,2022-02-28,12,5435.770024032581,2102.413009146151,8769.12703891901,5003.98317444483,3911.4209669991096,6019.231510030006,Prophet,높음 (High)
6533765,GASOLINE-REG UNLEADED,2021-12-13,1,379.54631681709725,196.00464193630418,563.0879916978903,413.1853017051052,306.64489777990417,517.5287084548063,SARIMA,보통 (Mid)
6533765,GASOLINE-REG UNLEADED,2021-12-20,2,383.22595862822004,195.00520092868587,571.4467163277542,443.3955147213243,337.270444767954,542.1422320596865,SARIMA,보통 (Mid)
6533765,GASOLINE-REG UNLEADED,2021-12-27,3,386.90560043934283,194.1192916932943,579.6919091853914,444.67358699622895,337.90466287204373,547.9003577112721,SARIMA,보통 (Mid)
6533765,GASOLINE-REG UNLEADED,2022-01-03,4,390.5852422504656,193.33903049757353,587.8314540033577,432.4913912010877,329.25417004298845,541.2652885037253,SARIMA,보통 (Mid)
6533765,GASOLINE-REG UNLEADED,2022-01-10,5,394.2648840615884,192.6574058723934,595.8723622507835,436.5974115314419,333.0075818349514,539.7152700016527,SARIMA,보통 (Mid)
6533765,GASOLINE-REG UNLEADED,2022-01-17,6,397.9445258727112,192.0681491979049,603.8209025475176,466.96793603128936,355.9547538423946,580.1855608082958,SARIMA,보통 (Mid)
6533765,GASOLINE-REG UNLEADED,2022-01-24,7,401.624167683834,191.5656289769137,611.6827063907543,503.47292763852,397.15499544765504,599.5986574298684,SARIMA,보통 (Mid)
6533765,GASOLINE-REG UNLEADED,2022-01-31,8,405.3038094949568,191.14476370275418,619.4628552871594,518.3658296336306,409.3773097046115,625.2811842993543,SARIMA,보통 (Mid)
6533765,GASOLINE-REG UNLEADED,2022-02-07,9,408.9834513060796,190.8009494743178,627.1659531378414,504.6066391415803,393.9386124070837,605.8377839859977,SARIMA,보통 (Mid)
6533765,GASOLINE-REG UNLEADED,2022-02-14,10,412.6630931172024,190.52999941771165,634.7961868166931,480.1204209356376,380.8243605438584,596.7451082993604,SARIMA,보통 (Mid)
6533765,GASOLINE-REG UNLEADED,2022-02-21,11,416.34273492832517,190.32809264281588,642.3573772138345,467.9509775949996,365.61225514525074,572.4551752000175,SARIMA,보통 (Mid)
6533765,GASOLINE-REG UNLEADED,2022-02-28,12,420.02237673944796,190.1917309622002,649.8530225166958,477.28032257946984,380.85321019944223,588.0950150893281,SARIMA,보통 (Mid)
1082185,BANANAS,2021-12-13,1,306.2796189501796,235.2215524456219,377.3376854547373,335.7933796306097,289.2346657550385,382.56280358930303,Prophet,높음 (High)
1082185,BANANAS,2021-12-20,2,308.9047619832235,230.82188026786554,386.9876436985815,337.1261576597233,287.8837861884838,383.53807765162117,Prophet,높음 (High)
1082185,BANANAS,2021-12-27,3,311.52990501626743,227.00402721199364,396.05578282054125,315.00085032007246,267.1396798979118,363.3221234380355,Prophet,높음 (High)
1082185,BANANAS,2022-01-03,4,314.15504804931135,223.6436585991904,404.6664374994323,283.5484967140299,235.56986406181082,331.07689681668694,Prophet,높음 (High)
1082185,BANANAS,2022-01-10,5,316.78019108235526,220.65527640463029,412.90510576008023,267.5973157553958,218.84123804706,313.6947400019418,Prophet,높음 (High)
1082185,BANANAS,2022-01-17,6,319.40533411539917,217.97709927219418,420.83356895860413,278.86583032175326,232.90501312413417,327.8197451084372,Prophet,높음 (High)
1082185,BANANAS,2022-01-24,7,322.0304771484431,215.562761736602,428.49819256028417,303.45733364587306,257.0065323976095,352.57411902111244,Prophet,높음 (High)
1082185,BANANAS,2022-01-31,8,324.655620181487,213.37641265993236,435.9348277030416,315.91438625283604,267.41853876014454,359.2574117465287,Prophet,높음 (High)
1082185,BANANAS,2022-02-07,9,327.2807632145309,211.3896521307482,443.1718742983136,306.36860001702956,257.98386313707715,353.3643501936175,Prophet,높음 (High)
1082185,BANANAS,2022-02-14,10,329.9059062475748,209.5795283005839,450.23228419456575,291.30717202166596,243.63820820377504,342.19007278912443,Prophet,높음 (High)
1082185,BANANAS,2022-02-21,11,332.53104928061873,207.92717762547898,457.1349209357585,295.3225591888647,248.7048927179499,341.18144891322237,Prophet,높음 (High)
1082185,BANANAS,2022-02-28,12,335.15619231366264,206.41687262826514,463.89551199906015,323.5066515373866,280.68674164945156,371.2396848892453,Prophet,높음 (High)
995242,FLUID MILK WHITE ONLY,2021-12-13,1,417.0772341010283,94.90850755497911,739.2459606470775,395.9676816258365,177.01771347716306,607.5571940835592,SARIMA,낮음 (Low)
995242,FLUID MILK WHITE ONLY,2021-12-20,2,261.6294897174441,-66.17745512263315,589.4364345575214,385.7972828240467,164.70866609605216,599.2961216020282,SARIMA,낮음 (Low)
995242,FLUID MILK WHITE ONLY,2021-12-27,3,386.3414206501239,32.4490518283435,740.2337894719043,376.1250579283252,133.04605521397917,589.5527366306923,SARIMA,낮음 (Low)
995242,FLUID MILK WHITE ONLY,2022-01-03,4,311.04935966076675,-43.929445138302356,666.0281644598358,368.86399686477523,152.46015950577132,571.3727709090269,SARIMA,낮음 (Low)
995242,FLUID MILK WHITE ONLY,2022-01-10,5,369.1080165895453,7.184789702674664,731.031243476416,343.0458299869357,134.45238784777538,560.0721709460004,SARIMA,낮음 (Low)
995242,FLUID MILK WHITE ONLY,2022-01-17,6,334.4721759823717,-27.454995805302417,696.3993477700458,293.5300763755681,56.25527583004769,490.47986074369095,SARIMA,낮음 (Low)
995242,FLUID MILK WHITE ONLY,2022-01-24,7,362.64410660246386,-2.150886993793904,727.4391001987217,253.87617048014266,50.250848561960815,459.604380894069,SARIMA,낮음 (Low)
995242,FLUID MILK WHITE ONLY,2022-01-31,8,347.58884369035826,-17.416420447356074,712.5941078280725,266.1081161562195,54.36692249868322,483.2125961835654,SARIMA,낮음 (Low)
995242,FLUID MILK WHITE ONLY,2022-02-07,9,362.00125847565477,-4.657304885318354,728.6598218366279,328.50064858422024,118.85464409410962,537.6343275383921,SARIMA,낮음 (Low)
995242,FLUID MILK WHITE ONLY,2022-02-14,10,356.2078632604314,-10.958648376696658,723.3743748975594,387.24008440156325,168.74013623655958,607.1108187249278,SARIMA,낮음 (Low)
995242,FLUID MILK WHITE ONLY,2022-02-21,11,364.2199277382284,-4.156260816645499,732.5961162931023,390.81417164362614,174.7911397464518,602.5440384888847,SARIMA,낮음 (Low)
995242,FLUID MILK WHITE ONLY,2022-02-28,12,362.7788237641984,-6.2901566001427796,731.8478041285396,349.17433213089527,146.98081735599214,564.1298289912646,SARIMA,낮음 (Low)
5569230,SOFT DRINKS 12/18&15PK CAN CAR,2021-12-13,1,200.34199529282512,-184.36562242268894,585.0496130083392,336.89625709706706,83.7973378670606,594.5850842590506,SARIMA,낮음 (Low)
5569230,SOFT DRINKS 12/18&15PK CAN CAR,2021-12-20,2,295.86035282235866,-88.8472648931554,680.5679705378727,276.9500657456684,47.22049660521751,535.8259122823072,SARIMA,낮음 (Low)
5569230,SOFT DRINKS 12/18&15PK CAN CAR,2021-12-27,3,190.66925022654323,-194.03836748897083,575.3768679420573,214.93568241350505,-32.893511800639985,453.53389424743835,SARIMA,낮음 (Low)
5569230,SOFT DRINKS 12/18&15PK CAN CAR,2022-01-03,4,205.86927818784335,-178.8383395276707,590.5768959033574,212.63817545321092,-36.68049660159667,453.73230031997707,SARIMA,낮음 (Low)
5569230,SOFT DRINKS 12/18&15PK CAN CAR,2022-01-10,5,269.5297589312156,-115.17785878429845,654.2373766467297,264.64473989289013,30.923799839595468,520.4208688261106,SARIMA,낮음 (Low)
5569230,SOFT DRINKS 12/18&15PK CAN CAR,2022-01-17,6,317.79675681196215,-66.9108609035519,702.5043745274762,300.5211021054241,50.20662214957774,523.3676222314091,SARIMA,낮음 (Low)
5569230,SOFT DRINKS 12/18&15PK CAN CAR,2022-01-24,7,194.81471239780691,-189.89290531770715,579.522330113321,275.3685267133438,28.667928551467753,514.49076667227,SARIMA,낮음 (Low)
5569230,SOFT DRINKS 12/18&15PK CAN CAR,2022-01-31,8,230.7420512154253,-153.96556650008876,615.4496689309394,231.86742394783892,-1.5884008388222266,478.72108531859527,SARIMA,낮음 (Low)
5569230,SOFT DRINKS 12/18&15PK CAN CAR,2022-02-07,9,221.51494333255425,-163.1926743829598,606.2225610480683,246.58322629232754,15.789605140654395,515.0214411063129,SARIMA,낮음 (Low)
5569230,SOFT DRINKS 12/18&15PK CAN CAR,2022-02-14,10,355.7968267152124,-28.910791000301685,740.5044444307264,323.11273891579094,71.96686734919655,579.0353624195623,SARIMA,낮음 (Low)
5569230,SOFT DRINKS 12/18&15PK CAN CAR,2022-02-21,11,194.81471239780691,-189.89290531770715,579.522330113321,372.5293654847768,150.38337768820818,605.9124477545688,SARIMA,낮음 (Low)
5569230,SOFT DRINKS 12/18&15PK CAN CAR,2022-02-28,12,186.52378805527957,-198.1838296602345,571.2314057707936,319.0511271165443,95.7753078149315,560.2211410045895,SARIMA,낮음 (Low)
1029743,FLUID MILK WHITE ONLY,2021-12-13,1,398.0152958129689,110.18141485880159,685.8491767671362,412.7464755707084,240.91200059019724,583.4525044452489,SARIMA,보통 (Mid)
1029743,FLUID MILK WHITE ONLY,2021-12-20,2,494.58071047120336,203.11300845826287,786.0484124841439,412.25573297468975,241.9037892922259,588.6886151435925,SARIMA,보통 (Mid)
1029743,FLUID MILK WHITE ONLY,2021-12-27,3,520.4219411098052,205.04099470975302,835.8028875098573,389.866156379872,221.74701412669077,558.4894761682607,SARIMA,보통 (Mid)
1029743,FLUID MILK WHITE ONLY,2022-01-03,4,484.43843813846314,168.37249866668571,800.5043776102406,336.83053688020345,163.71058855716586,503.3896134223103,SARIMA,보통 (Mid)
1029743,FLUID MILK WHITE ONLY,2022-01-10,5,482.4679770356522,149.02619516925915,815.9097589020453,305.9356889688275,121.98059885717552,486.43523987947634,SARIMA,보통 (Mid)
1029743,FLUID MILK WHITE ONLY,2022-01-17,6,457.97938419956995,105.4060774828016,810.5526909163383,341.7624839673707,152.3253016933953,517.7413719723946,SARIMA,보통 (Mid)
1029743,FLUID MILK WHITE ONLY,2022-01-24,7,489.787714731789,124.09747096778005,855.4779584957979,414.8789210757493,233.71734160528626,589.7565829010362,SARIMA,보통 (Mid)
1029743,FLUID MILK WHITE ONLY,2022-01-31,8,485.8859543110145,108.0373637073182,863.7345449147108,447.83517007470823,280.4011950063622,609.0821710933336,SARIMA,보통 (Mid)
1029743,FLUID MILK WHITE ONLY,2022-02-07,9,487.8850739898391,102.75534789525341,873.0148000844248,406.2999985910826,227.77083353807822,578.4103591054541,SARIMA,보통 (Mid)
1029743,FLUID MILK WHITE ONLY,2022-02-14,10,479.3067964867695,81.65540734005447,876.9581856334845,343.6700432435428,177.86186992297135,510.4689118594387,SARIMA,보통 (Mid)
1029743,FLUID MILK WHITE ONLY,2022-02-21,11,477.97112877094304,69.37838136499983,886.5638761768862,340.17681042014055,159.15922394492262,515.825092049924,SARIMA,보통 (Mid)
1029743,FLUID MILK WHITE ONLY,2022-02-28,12,483.1039172573742,62.873571072092034,903.3342634426563,406.38088558844424,228.9624456519901,580.0516726251108,SARIMA,보통 (Mid)
6534166,GASOLINE-REG UNLEADED,2021-12-13,1,314.2682156509065,106.83160267012849,521.7048286316844,521.2643669824367,369.651445856214,672.3034822648547,SARIMA,낮음 (Low)
6534166,GASOLINE-REG UNLEADED,2021-12-20,2,319.3831651186106,111.94543340656307,526.8208968306581,577.8718289656683,438.557630935281,728.0035995454353,SARIMA,낮음 (Low)
6534166,GASOLINE-REG UNLEADED,2021-12-27,3,323.37498119371065,114.86675015079229,531.883212236629,576.5664042690125,427.2674097200769,715.8236983920756,SARIMA,낮음 (Low)
6534166,GASOLINE-REG UNLEADED,2022-01-03,4,326.49027992306054,114.52836621288094,538.4521936332401,520.4856855260754,375.76661619238325,669.0869895972775,SARIMA,낮음 (Low)
6534166,GASOLINE-REG UNLEADED,2022-01-10,5,328.92152574964734,110.8214002513293,547.0216512479653,443.6445759501131,300.08184026021405,586.4242219420922,SARIMA,낮음 (Low)
6534166,GASOLINE-REG UNLEADED,2022-01-17,6,330.8189220454206,104.14938756163329,557.488456529208,384.9936451302055,233.83753761614705,534.0585362757753,SARIMA,낮음 (Low)
6534166,GASOLINE-REG UNLEADED,2022-01-24,7,332.29969073768746,95.12065562051393,569.478725854861,366.02316439103447,209.20333468469627,518.4079431156089,SARIMA,낮음 (Low)
6534166,GASOLINE-REG UNLEADED,2022-01-31,8,333.45531432822685,84.35814190970191,582.5524867467518,382.31954282387693,236.62681587029618,526.8970796707463,SARIMA,낮음 (Low)
6534166,GASOLINE-REG UNLEADED,2022-02-07,9,334.35718772005737,72.40542063423112,596.3089548058836,409.3515638927339,266.357682194881,552.4463990083484,SARIMA,낮음 (Low)
6534166,GASOLINE-REG UNLEADED,2022-02-14,10,335.0610290240517,59.69647306646027,610.4255849816432,419.56408552884506,270.2155977175945,568.5460859705504,SARIMA,낮음 (Low)
6534166,GASOLINE-REG UNLEADED,2022-02-21,11,335.6103218468536,46.559038618870545,624.6616050748366,403.1368351432898,252.84512110600676,558.0902981397644,SARIMA,낮음 (Low)
6534166,GASOLINE-REG UNLEADED,2022-02-28,12,336.03900172606694,33.2313477385087,638.8466557136252,377.32745850825836,226.86796470247526,521.6552393750176,SARIMA,낮음 (Low)
916122,CHICKEN BREAST BONELESS,2021-12-13,1,283.09056274787423,-14.62455678203196,580.8056822777804,404.7363207529329,193.13286995077132,607.4646276121358,Prophet,낮음 (Low)
916122,CHICKEN BREAST BONELESS,2021-12-20,2,386.81735148859593,89.10223195868974,684.5324710185021,398.90771812242826,219.6047038789185,612.7684612317637,Prophet,낮음 (Low)
916122,CHICKEN BREAST BONELESS,2021-12-27,3,224.86710886721275,-72.84801066269344,522.5822283971189,341.72715074520227,132.4770424810996,523.8864535523844,Prophet,낮음 (Low)
916122,CHICKEN BREAST BONELESS,2022-01-03,4,325.96314571958277,28.24802618967658,623.678265249489,268.1097440912542,66.77445069998197,468.94672413640654,Prophet,낮음 (Low)
916122,CHICKEN BREAST BONELESS,2022-01-10,5,249.23770053622846,-48.47741899367773,546.9528200661347,227.13524391737587,13.887315670624737,435.5613495317679,Prophet,낮음 (Low)
916122,CHICKEN BREAST BONELESS,2022-01-17,6,238.09795993939883,-59.617159590507356,535.813079469305,234.08955903914148,32.54796529969837,439.7901780444949,Prophet,낮음 (Low)
916122,CHICKEN BREAST BONELESS,2022-01-24,7,377.1327154160926,79.4175958861864,674.8478349459988,259.56253574075464,30.306944346617783,458.31402329439646,Prophet,낮음 (Low)
916122,CHICKEN BREAST BONELESS,2022-01-31,8,238.1654151160232,-59.54970441388298,535.8805346459294,269.7258637397206,65.20819733352792,481.25819037616384,Prophet,낮음 (Low)
916122,CHICKEN BREAST BONELESS,2022-02-07,9,251.56008590286854,-46.15503362703765,549.2752054327748,269.7030722944718,49.97136701863646,480.54425556413906,Prophet,낮음 (Low)
916122,CHICKEN BREAST BONELESS,2022-02-14,10,437.7411916131168,140.02607208321064,735.456311143023,294.44537502091686,94.28121761568882,506.9954302180982,Prophet,낮음 (Low)
916122,CHICKEN BREAST BONELESS,2022-02-21,11,252.70200567858163,-45.01311385132456,550.4171252084878,354.7773854845944,153.75711531722783,557.1493463369133,Prophet,낮음 (Low)
916122,CHICKEN BREAST BONELESS,2022-02-28,12,389.6504689068207,91.93534937691453,687.365588436727,406.8439888367783,216.24571020344766,618.4012332650004,Prophet,낮음 (Low)
1106523,FLUID MILK WHITE ONLY,2021-12-13,1,258.1977694453776,100.93921285935389,415.4563260314013,311.7652664030156,205.33500586789947,411.82924311112185,SARIMA,높음 (High)
1106523,FLUID MILK WHITE ONLY,2021-12-20,2,335.30078402046547,175.03573882562125,495.5658292153097,310.6171497276663,207.7989162735721,407.3439599711855,SARIMA,높음 (High)
1106523,FLUID MILK WHITE ONLY,2021-12-27,3,282.0627834399796,109.92586781571833,454.1996990642409,283.4086063763726,183.86277498267046,379.65618134023083,SARIMA,높음 (High)
1106523,FLUID MILK WHITE ONLY,2022-01-03,4,301.3748111066807,128.77486393786108,473.9747582755003,244.1998769656621,139.14675447344777,342.7944663795809,SARIMA,높음 (High)
1106523,FLUID MILK WHITE ONLY,2022-01-10,5,314.8255907227549,130.79941554160087,498.8517659039089,227.42934498175725,125.41914263737372,325.16277449689574,SARIMA,높음 (High)
1106523,FLUID MILK WHITE ONLY,2022-01-17,6,278.5424041376445,92.70824775462637,464.3765605206626,248.65636869568735,144.08263141429467,353.78793502623466,SARIMA,높음 (High)
1106523,FLUID MILK WHITE ONLY,2022-01-24,7,323.3546796481897,132.67573915993518,514.0336201364441,285.0796400033465,180.06380909545015,386.62173287152285,SARIMA,높음 (High)
1106523,FLUID MILK WHITE ONLY,2022-01-31,8,283.9324331081643,87.4058731888457,480.45899302748285,299.6355924139727,203.81706552472053,393.02401094239576,SARIMA,높음 (High)
1106523,FLUID MILK WHITE ONLY,2022-02-07,9,308.17539368345035,109.87555807260668,506.475229294294,281.97191999555025,180.88980568930276,384.2766504557288,SARIMA,높음 (High)
1106523,FLUID MILK WHITE ONLY,2022-02-14,10,302.87192375416186,97.101236845252,508.6426106630717,259.31432353045193,158.939873162424,367.3172798412339,SARIMA,높음 (High)
1106523,FLUID MILK WHITE ONLY,2022-02-21,11,291.388093887319,83.67811986923667,499.0980679054013,264.34727753353326,174.6054160736255,354.7694056340967,SARIMA,높음 (High)
1106523,FLUID MILK WHITE ONLY,2022-02-28,12,313.3111946060195,100.53937526822,526.083013943819,296.7257684528679,188.09958730286212,396.65843904582687,SARIMA,높음 (High)
