Product_ID,MAE,RMSE,Test_Mean
6534178,1434.8799116157106,1629.7325380781763,5089.8475
6533889,128.27377676082742,134.09923042115284,476.5425
1029743,131.52729555310827,151.88536341396332,509.8125
6534166,186.81873204657063,243.91601211536937,324.915
1082185,37.754409961012016,46.137807779494494,303.5875
916122,186.81553211427945,214.47983795401422,274.265
6533765,108.033155464029,129.59012513299265,349.77
1106523,60.979431998508346,81.35777844678896,313.28000000000003
995242,195.1045340345437,228.8744905770365,310.0875
5569230,171.26919369097993,198.40466350896648,263.8675
844179,107.35494288806525,133.14447488529618,309.1475
1044078,126.73487695447689,159.96091411972301,190.3825
1127831,277.9755354618202,280.0236545030305,0.0
1133018,99.90297051191959,120.0918816964452,165.065
874972,109.61882584857499,111.23927146668846,147.1225
1126899,58.00165969597768,58.84350240792864,191.835
1005186,38.63778218763045,45.213804135547804,148.40249999999997
5569471,124.40571648469262,134.01349575158872,126.39250000000001
1070820,32.264790359753725,33.27494240542937,163.5825
951590,37.74416958192237,41.63155884499449,112.64499999999998
866211,64.2431001295925,84.93805959597611,147.10250000000002
981760,54.82653531081984,58.983093312070565,146.5325
8090521,99.11356254645963,103.98646683685637,105.83500000000001
986912,29.181553111085787,32.828266633850575,97.6475
8090537,105.70777379445201,123.19078278610233,118.175
854852,25.84442115593742,29.21758329258795,102.565
878996,70.29464728030196,82.44097067277788,145.195
1000753,67.2560299249237,72.05097646342554,63.79
1004906,48.253252166161005,55.070268198729906,107.66250000000002
899624,58.9821021717073,60.49090755292049,127.2325
1070702,125.11337718620109,162.51329678427643,106.54750000000001
908531,67.20541591301938,75.9937400383007,93.22999999999999
1075368,39.82493870957567,43.99266706708422,92.80999999999999
883404,20.74409652759624,26.3919396924546,103.81750000000001
862349,50.271997931507,61.03144834352907,90.4
961554,15.8616574716972,18.12094808220796,93.3
1058997,61.249401255951945,67.48196996196921,100.3825
1081177,59.52275614138439,61.64126867840662,65.39
854405,34.18308498961016,44.085203280541414,54.9275
923746,7.788356494329543,9.196722183349896,81.295
859075,21.1024749802825,27.404560704587187,80.4675
933835,18.655771913049584,22.221326461596828,48.655
863447,223.48663124486092,226.8495614712471,99.0625
12810393,63.4260182423136,75.72716338272846,124.455
6544236,62.04521719390927,67.68445911237674,53.0075
839419,27.598660777907657,29.944390345473508,78.6375
985999,104.88994550205896,114.39157147436423,54.3375
12810391,148.70325410626901,151.42045844834072,86.525
1068719,16.6133307731023,20.038646410811328,56.472500000000004
948670,23.85961785528481,29.140287205652417,54.2675
